Discovery Date,File Name,IP Address,ASN,ASN Name,MD5
2012-12-23,names-wills-roc-kf.net/data.exe,46{.}249{.}42{.}169,NL,50673,SERVERIUS-AS Serverius Holding B.V.,e902de243194ce595b12116a38f7ee6d
2012-12-23,,210{.}112{.}3{.}92,KR,9848,GNGAS Enterprise Networks,85ea047efbfe1b352032fc3b4dc62590
2012-12-23,whitehat.su/emn12.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",ebbaa65af123a1a9bfccdf1d600d7f7e
2012-12-23,s.winggo.co.kr/tabsync/tabsyncu.exe,121{.}78{.}93{.}135,KR,9286,LGH-AS-KR LGHitachi,4e82de270c372fea7bf2028d430b8d30
2012-12-23,handelspartner-neuruppin.de/DRRBUTY.exe,81{.}169{.}145{.}72,DE,6724,STRATO STRATO AG,dd61a3978a3453f3acff2ba4314220a4
2012-12-23,wt4.97sky.cn/readink.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,67fd0c68ee28f284ec1118ebe9a10428
2012-12-23,s3-sa-east-1.amazonaws.com/vonoloa/Contrato_61277.pdf.exe,177{.}72{.}244{.}0,BR,16509,"AMAZON-02 - Amazon.com, Inc.",07230889c033508a77a8b6104cee759d
2012-12-23,iwhuwugy.ru/keybex3.exe,95{.}85{.}159{.}170,RS,41897,SAT-TRAKT-AS SAT-TRAKT D.O.O. Autonomous System,34f3445eb2a2cf431a324a5f2585b7a8
2012-12-23,www.gavassa.com/sitionuevo/juegos/Bombermania.exe,74{.}53{.}27{.}98,US,21844,"THEPLANET-AS - ThePlanet.com Internet Services, Inc.",471d39a51a79f342033c5b0636c244dc
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia03.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,09e8f70dbcdc2a07c3af2ba411ad0b28
2012-12-23,iwhuwugy.ru/keybex3.exe,95{.}85{.}159{.}170,RS,41897,SAT-TRAKT-AS SAT-TRAKT D.O.O. Autonomous System,c9e7b3bd18d7dda1a4c3d26be1610066
2012-12-23,www.lochter.de/VzbWGU5p/HFvRrYi.exe,91{.}217{.}86{.}12,DE,197269,BTNET Baumann Technologie GmbH,89e32ea28821018383d7676dc491da71
